批量更改
模块名,软元件,当前值,显示格式,注释
全局,R3909,―,1 位二进制数,
全局,R3910,―,1 位二进制数,
全局,R3911,―,1 位二进制数,
全局,R3912,―,1 位二进制数,
全局,R3913,―,1 位二进制数,
全局,R3914,―,1 位二进制数,
全局,R3915,―,1 位二进制数,
全局,R4000,―,1 位二进制数,
全局,R4001,―,1 位二进制数,
全局,R4002,―,1 位二进制数,
全局,R4003,―,1 位二进制数,
全局,R4004,―,1 位二进制数,
全局,R4005,―,1 位二进制数,
全局,R4006,―,1 位二进制数,
全局,R4007,―,1 位二进制数,
全局,R4008,―,1 位二进制数,
全局,R4009,―,1 位二进制数,
全局,R4010,―,1 位二进制数,
全局,R4011,―,1 位二进制数,
全局,R4012,―,1 位二进制数,
全局,R4013,―,1 位二进制数,
全局,R4014,―,1 位二进制数,
全局,R4015,―,1 位二进制数,
全局,R4100,―,1 位二进制数,
全局,R4101,―,1 位二进制数,
全局,R4102,―,1 位二进制数,
全局,R4103,―,1 位二进制数,
全局,R4104,―,1 位二进制数,
全局,R4105,―,1 位二进制数,
全局,R4106,―,1 位二进制数,
全局,R4107,―,1 位二进制数,
全局,R4108,―,1 位二进制数,
全局,R4109,―,1 位二进制数,
全局,R4110,―,1 位二进制数,
全局,R4111,―,1 位二进制数,
全局,R4112,―,1 位二进制数,
全局,R4113,―,1 位二进制数,
全局,R4114,―,1 位二进制数,
全局,R4115,―,1 位二进制数,
全局,R4200,―,1 位二进制数,
全局,R4201,―,1 位二进制数,
全局,R4202,―,1 位二进制数,
全局,R4203,―,1 位二进制数,
全局,R4204,―,1 位二进制数,
全局,R4205,―,1 位二进制数,
全局,R4206,―,1 位二进制数,
全局,R4207,―,1 位二进制数,
全局,R4208,―,1 位二进制数,
全局,R4209,―,1 位二进制数,
全局,R4210,―,1 位二进制数,
全局,R4211,―,1 位二进制数,
全局,R4212,―,1 位二进制数,
全局,R4213,―,1 位二进制数,
全局,R4214,―,1 位二进制数,
全局,R4215,―,1 位二进制数,
全局,R4300,―,1 位二进制数,
全局,R4301,―,1 位二进制数,
全局,R4302,―,1 位二进制数,
全局,R4303,―,1 位二进制数,
全局,R4304,―,1 位二进制数,
全局,R4305,―,1 位二进制数,
全局,R4306,―,1 位二进制数,
全局,R4307,―,1 位二进制数,
全局,R4308,―,1 位二进制数,
全局,R4309,―,1 位二进制数,
全局,R4310,―,1 位二进制数,
全局,R4311,―,1 位二进制数,
全局,R4312,―,1 位二进制数,
全局,R4313,―,1 位二进制数,
全局,R4314,―,1 位二进制数,
全局,R4315,―,1 位二进制数,
全局,R4400,―,1 位二进制数,
全局,R4401,―,1 位二进制数,
全局,R4402,―,1 位二进制数,
全局,R4403,―,1 位二进制数,
全局,R4404,―,1 位二进制数,
全局,R4405,―,1 位二进制数,
全局,R4406,―,1 位二进制数,
全局,R4407,―,1 位二进制数,
