2018/7/6 13:41:37	CMD: 	?TMONTHRS\r\n	FEEDBACK: 	TTHRESHOLD=639C,0FA0,0FA0,639C,639C,639C,639C,1194\r\n
2018/7/6 13:41:37	CMD: 	?PARAG6\r\n	FEEDBACK: 	PARAG6=FF0505FFFFFFFFFF8202\r\n
2018/7/6 13:41:38	CMD: 	?TOFW\r\n	FEEDBACK: 	TOFW=0A01,0A01,0000\r\n
2018/7/6 13:41:38	CMD: 	?ENVC\r\n	FEEDBACK: 	ENVC=0A01,1C4A,0800\r\n
2018/7/6 13:41:38	CMD: 	?PD\r\n	FEEDBACK: 	PD=0000,0000,0000\r\n
2018/7/6 13:41:38	CMD: 	?IMAXMFG\r\n	FEEDBACK: 	IMAX_CW=03C0,IMAX_QCW=03C0,PMAX_CW=040D,PMAX_QCW=040D\r\n
2018/7/6 13:41:38	CMD: 	?IMAXUSR\r\n	FEEDBACK: 	IMAX_CW=03C0,IMAX_QCW=03C0,PMAX_CW=040D,PMAX_QCW=040D\r\n
2018/7/6 13:41:39	CMD: 	?STATUS\r\n	FEEDBACK: 	STATUS=9800000000000000\r\n
2018/7/6 13:41:39	CMD: 	?DSN\r\n	FEEDBACK: 	DSN=A02848\r\n
2018/7/6 13:41:39	CMD: 	?OPMD\r\n	FEEDBACK: 	OPMOD=ANG\r\n
2018/7/6 13:41:39	CMD: 	?OUTPUT\r\n	FEEDBACK: 	ISET=0000\r\n
2018/7/6 13:41:40	CMD: 	?TMONRT\r\n	FEEDBACK: 	TMONRT=0000,0A0A,0A0F,0000,0000,0000,0000,0A01\r\n
2018/7/6 13:41:40	CMD: 	?TMONTHRS\r\n	FEEDBACK: 	TTHRESHOLD=639C,0FA0,0FA0,639C,639C,639C,639C,1194\r\n
2018/7/6 13:41:40	CMD: 	?PARAG6\r\n	FEEDBACK: 	PARAG6=FF0505FFFFFFFFFF8202\r\n
2018/7/6 13:41:40	CMD: 	?TOFW\r\n	FEEDBACK: 	TOFW=0A01,0A01,0000\r\n
2018/7/6 13:41:40	CMD: 	?ENVC\r\n	FEEDBACK: 	ENVC=0A01,1C45,0801\r\n
2018/7/6 13:41:41	CMD: 	?PD\r\n	FEEDBACK: 	PD=0000,0000,0000\r\n
2018/7/6 13:41:41	CMD: 	?IMAXMFG\r\n	FEEDBACK: 	IMAX_CW=03C0,IMAX_QCW=03C0,PMAX_CW=040D,PMAX_QCW=040D\r\n
2018/7/6 13:41:41	CMD: 	?IMAXUSR\r\n	FEEDBACK: 	IMAX_CW=03C0,IMAX_QCW=03C0,PMAX_CW=040D,PMAX_QCW=040D\r\n
2018/7/6 13:41:41	CMD: 	?STATUS\r\n	FEEDBACK: 	STATUS=9800000000000000\r\n
2018/7/6 13:41:42	CMD: 	?DSN\r\n	FEEDBACK: 	DSN=A02848\r\n
2018/7/6 13:41:42	CMD: 	?OPMD\r\n	FEEDBACK: 	OPMOD=ANG\r\n
2018/7/6 13:41:42	CMD: 	?OUTPUT\r\n	FEEDBACK: 	ISET=0000\r\n
2018/7/6 13:41:42	CMD: 	?TMONRT\r\n	FEEDBACK: 	TMONRT=0000,0A0A,0A12,0000,0000,0000,0000,0A01\r\n
2018/7/6 13:41:42	CMD: 	?TMONTHRS\r\n	FEEDBACK: 	TTHRESHOLD=639C,0FA0,0FA0,639C,639C,639C,639C,1194\r\n
